Entity: ▁excision, Label: B-Therapeutic_procedure
Entity: ▁unilateral, Label: I-Biological_structure
Entity: ▁epi, Label: I-Biological_structure
Entity: bul, Label: B-Biological_structure
Entity: bar, Label: B-Biological_structure
Entity: ▁limb, Label: B-Biological_structure
Entity: al, Label: B-Biological_structure
Entity: ▁der, Label: B-Therapeutic_procedure
Entity: m, Label: I-Therapeutic_procedure
Entity: oids, Label: I-Therapeutic_procedure
Entity: ▁eyes, Label: I-Biological_structure
Entity: ▁worse, Label: I-Lab_value
Entity: ▁visual, Label: I-Diagnostic_procedure
Entity: ▁acuity, Label: B-Diagnostic_procedure
Entity: P, Label: B-Lab_value
Entity: ▁less, Label: B-Lab_value
Entity: ▁than, Label: B-Lab_value
Entity: ▁., Label: B-Lab_value
Entity: 02, Label: B-Lab_value
Entity: ▁more, Label: I-Lab_value
Entity: ▁astigmatism, Label: B-Sign_symptom
Entity: ▁less, Label: B-Lab_value
Entity: ▁than, Label: B-Lab_value
Entity: ▁., Label: B-Lab_value
Entity: 01, Label: B-Lab_value
Entity: ▁eyes, Label: B-Detailed_description
Entity: ▁cosmetically, Label: I-Diagnostic_procedure
Entity: ▁improved, Label: I-Lab_value
Entity: ▁preoperative, Label: I-Detailed_description
Entity: ▁postoperative, Label: I-Detailed_description
Entity: ▁visual, Label: I-Diagnostic_procedure
Entity: ▁acuity, Label: B-Diagnostic_procedure
Entity: ▁measurements, Label: B-Diagnostic_procedure
Entity: ▁changed, Label: B-Lab_value
Entity: ▁minimally, Label: B-Lab_value
Entity: less, Label: I-Lab_value
Entity: ▁than, Label: B-Lab_value
Entity: ▁or, Label: B-Lab_value
Entity: ▁equal, Label: B-Lab_value
Entity: ▁to, Label: B-Lab_value
Entity: ▁1, Label: B-Lab_value
Entity: ▁line, Label: B-Lab_value
Entity: ▁improved, Label: I-Lab_value
Entity: less, Label: I-Lab_value
Entity: ▁than, Label: B-Lab_value
Entity: ▁or, Label: B-Lab_value
Entity: ▁equal, Label: B-Lab_value
Entity: ▁to, Label: B-Lab_value
Entity: ▁2, Label: B-Lab_value
Entity: ▁lines, Label: B-Lab_value
Entity: ▁persistent, Label: I-Detailed_description
Entity: ▁epithelial, Label: B-Sign_symptom
Entity: ▁defects, Label: I-Sign_symptom
Entity: ▁peripheral, Label: I-Biological_structure
Entity: ▁corneal, Label: B-Biological_structure
Entity: ▁vascular, Label: B-Sign_symptom
Entity: ization, Label: I-Sign_symptom
Entity: ▁opacity, Label: B-Sign_symptom
Entity: ▁Bell, Label: I-Disease_disorder
Entity: ', Label: B-Disease_disorder
Entity: s, Label: B-Disease_disorder
Entity: ▁palsy, Label: B-Disease_disorder
Entity: ▁unilateral, Label: I-Detailed_description
Entity: ▁facial, Label: I-Biological_structure
Entity: ▁weakness, Label: B-Sign_symptom
Entity: ▁I, Label: I-Disease_disorder
Entity: di, Label: B-Disease_disorder
Entity: opathic, Label: B-Disease_disorder
Entity: ▁facial, Label: I-Disease_disorder
Entity: ▁paralysis, Label: B-Disease_disorder
Entity: Bell, Label: I-Disease_disorder
Entity: ', Label: B-Disease_disorder
Entity: s, Label: B-Disease_disorder
Entity: ▁palsy, Label: B-Disease_disorder
Entity: ▁eye, Label: B-Therapeutic_procedure
Entity: ▁protection, Label: I-Therapeutic_procedure
Entity: ▁systemic, Label: I-Detailed_description
Entity: ▁oral, Label: I-Detailed_description
Entity: ▁corticosteroids, Label: I-Medication
