Entity: 10, Label: B-Lab_value
Entity: ex, Label: B-Therapeutic_procedure
Entity: un, Label: B-Detailed_description
Entity: ep, Label: B-Biological_structure
Entity: ##ib, Label: I-Biological_structure
Entity: ##ul, Label: I-Biological_structure
Entity: ##bar, Label: I-Biological_structure
Entity: eyes, Label: I-Biological_structure
Entity: worse, Label: B-Lab_value
Entity: visual, Label: B-Diagnostic_procedure
Entity: ac, Label: I-Diagnostic_procedure
Entity: ##uity, Label: I-Diagnostic_procedure
Entity: as, Label: B-Sign_symptom
Entity: ##ti, Label: I-Sign_symptom
Entity: ##gm, Label: B-Sign_symptom
Entity: ##ati, Label: I-Sign_symptom
Entity: ##sm, Label: I-Sign_symptom
Entity: eight, Label: B-Lab_value
Entity: visual, Label: B-Diagnostic_procedure
Entity: ac, Label: I-Diagnostic_procedure
Entity: ##uity, Label: I-Diagnostic_procedure
Entity: changed, Label: B-Lab_value
Entity: two, Label: B-Lab_value
Entity: improved, Label: B-Lab_value
Entity: persistent, Label: B-Sign_symptom
Entity: ep, Label: B-Sign_symptom
Entity: ##ith, Label: I-Sign_symptom
Entity: ##elial, Label: I-Sign_symptom
Entity: defects, Label: I-Sign_symptom
Entity: peripheral, Label: B-Biological_structure
Entity: corn, Label: I-Biological_structure
Entity: ##eal, Label: I-Biological_structure
Entity: vascular, Label: I-Sign_symptom
Entity: ##ization, Label: I-Sign_symptom
Entity: op, Label: B-Sign_symptom
Entity: ##ac, Label: B-Sign_symptom
Entity: ex, Label: B-Therapeutic_procedure
Entity: ##cision, Label: I-Therapeutic_procedure
Entity: acute, Label: B-Detailed_description
Entity: un, Label: B-Detailed_description
Entity: facial, Label: B-Disease_disorder
Entity: paralysis, Label: I-Disease_disorder
Entity: un, Label: B-Detailed_description
Entity: systemic, Label: B-Administration
Entity: oral, Label: B-Administration
Entity: co, Label: B-Medication
Entity: ##rti, Label: B-Medication
Entity: ##cos, Label: B-Medication
Entity: ##ter, Label: I-Medication
Entity: ##oids, Label: I-Medication
